obdobie,md,stredisko,funkcia,ppv,mzda,fond,hodiny,vyplata,uvazok
44075,RD,2,FARMACEUT,PZ,1100,170.5,0,0,1
44075,,2,FARMACEUT,PZ,1250,176,160,977.43,1
44075,,2,FARMACEUT,PZ,1300,176,125.5,1400.16,1
44075,,2,FARMACEUT,PZ,1250,176,120,1091.99,1
44075,,2,LABORANT,PZ,1000,176,111,940.05,1
44075,,2,LABORANT,PZ,1000,176,154,949.34,1
44075,,2,LABORANT,PZ,150,22,17,98.23,0.13
44075,RD,2,LABORANT,PZ,730,170.5,0,0,1
44075,,2,SANITÁR,PZ,736,176,160,647.92,1
44075,,2,Zodpovedný farmaceut,PZ,151,22,8,106.82,0.13
44075,RD,2,Zodpovedný farmaceut,PZ,1910,176,0,0,1
44075,,3,FARMACEUT,PZ,1250,176,136,1060.77,1
44075,,3,FARMACEUT,PZ,1300,176,112,1034.14,1
44075,,3,SANITÁR,PZ,696,176,152,557.01,1
44075,,3,Zodpovedný farmaceut,PZ,1650,176,152,615.18,1
44075,,5,FARMACEUT,PZ,1050,176,144,1168.92,1
44075,,5,LABORANT,PZ,928,176,160,875.65,1
44075,,5,SANITÁR,PZ,522,132,90,474.16,0.75
44075,,5,Zodpovedný farmaceut,PZ,1720,176,148,1813.07,1
44075,,6,FARMACEUT,PZ,1290,176,152,1364.38,1
44075,,6,LABORANT,PZ,928,176,0,701.31,1
44075,,6,LABORANT,PZ,928,176,120,877.41,1
44075,,6,LABORANT,PZ,928,176,128,877.28,1
44075,,6,SANITÁR,PZ,522,132,99,478.25,0.75
44075,,6,Zodpovedný farmaceut,PZ,1870,176,144,1987.76,1
44075,,7,Dohoda,dohoda,0,0,0,174.01,0.5
44075,,7,Dohoda,dohoda,0,0,0,281.73,0.5
44075,,7,FARMACEUT,PZ,1100,176,161,943.93,1
44075,,7,LABORANT,PZ,928,176,0,0,1
44075,,7,Zodpovedný farmaceut,PZ,1600,176,133,1601.59,1
44075,,9,Dohoda,dohoda,0,0,0,0,0.25
44075,,9,FARMACEUT,PZ,1100,176,120,1072.51,1
44075,,9,FARMACEUT,PZ,131,22,20,91.89,0.13
44075,,9,FARMACEUT,PZ,1100,176,128,1073.28,1
44075,,9,LABORANT,PZ,928,176,136,703.93,1
44075,,9,LABORANT,PZ,950,176,104,974.54,1
44075,,9,LABORANT,PZ,940,176,120,812.3,1
44075,,9,SANITÁR,PZ,696,176,140,587.33,1
44075,,9,SANITÁR,PZ,696,176,128,615.67,1
44075,,9,Zodpovedný farmaceut,PZ,1800,176,152,2011.03,1
44075,,11,Dohoda,dohoda,0,0,0,0,0.25
44075,,11,Dohoda,dohoda,0,0,0,45.59,0.25
44075,,11,FARMACEUT,PZ,1370,176,128,1987.26,1
44075,,11,FARMACEUT,PZ,1300,176,146,1263.34,1
44075,,11,FARMACEUT,PZ,1350,176,152,2863.02,1
44075,,11,LABORANT,PZ,928,176,132,878.79,1
44075,,11,LABORANT,PZ,928,176,136,745.64,1
44075,,11,LABORANT,PZ,928,176,120,767.5,1
44075,,11,LABORANT,PZ,928,176,136,1469.54,1
44075,,11,LABORANT,PZ,928,176,136,804.92,1
44075,,11,SANITÁR,PZ,696,176,144,573.04,1
44075,,11,Zodpovedný farmaceut,PZ,1900,176,0,240.1,1
44075,,12,FARMACEUT,PZ,1044,176,160,1296.96,1
44075,MD,12,FARMACEUT,PZ,1433,176,0,0,1
44075,,12,FARMACEUT,PZ,1100,176,112,1231.2,1
44075,,12,LABORANT,PZ,938,176,136,967.49,1
44075,,12,LABORANT,PZ,943,176,160,942.91,1
44075,,12,LABORANT,PZ,928,176,160,918.45,1
44075,RD,12,SANITÁR,PZ,496,176,0,0,1
44075,,12,SANITÁR,PZ,696,176,144,570.18,1
44075,,12,Zodpovedný farmaceut,PZ,1730,176,144,1740.54,1
44075,,13,Dohoda,dohoda,0,0,0,0,0.5
44075,,13,FARMACEUT,PZ,1100,176,148,1060.34,1
44075,,13,LABORANT,PZ,928,176,160,851.62,1
44075,,13,SANITÁR,PZ,435,110,90,349.18,0.63
44075,,13,Zodpovedný farmaceut,PZ,1372,143,123.5,1362.6,0.81
44075,,14,FARMACEUT,PZ,1200,176,136,1235.75,1
44075,,14,FARMACEUT,PZ,1235,176,140,1297.36,1
44075,,14,FARMACEUT,PZ,1220,176,184,1361.79,1
44075,,14,LABORANT,PZ,928,176,152,971.4,1
44075,,14,LABORANT,PZ,928,176,88,881.2,1
44075,,14,SANITÁR,PZ,700,176,128,619.36,1
44075,,14,Zodpovedný farmaceut,PZ,1600,176,160,1568.56,1
44075,,15,Dohoda,dohoda,0,0,0,237.2,0.5
44075,,15,FARMACEUT,PZ,1380,176,152,1406.64,1
44075,,15,FARMACEUT,PZ,1225,176,120,1623.07,1
44075,,15,LABORANT,PZ,928,176,136,960.74,1
44075,,15,LABORANT,PZ,928,176,160,969.3,1
44075,,15,Zodpovedný farmaceut,PZ,2324,176,152,2452.88,1
44075,,16,FARMACEUT,PZ,1150,176,144,1192.03,1
44075,,16,FARMACEUT,PZ,1428,176,160,1415.69,1
