obdobie,md,stredisko,funkcia,ppv,mzda,fond,hodiny,vyplata,uvazok
44105,RD,2,Farmaceut,PZ,1100,170.5,0,0,1
44105,,2,Farmaceut,PZ,1250,176,144,1056.31,1
44105,,2,Farmaceut,PZ,1300,176,168,1270.6,1
44105,,2,Farmaceut,PZ,1250,176,104,1174.96,1
44105,,2,Laborant,PZ,1000,176,186,910.78,1
44105,,2,Laborant,PZ,1000,176,162,963.52,1
44105,,2,Laborant,PZ,150,22,17,128.79,0.13
44105,RD,2,Laborant,PZ,730,170.5,0,0,1
44105,,2,SANITÁR,PZ,736,176,168,640.52,1
44105,,2,Zodpovedný farmaceut,PZ,151,22,17,106.12,0.13
44105,RD,2,Zodpovedný farmaceut,PZ,1910,176,0,0,1
44105,,3,Farmaceut,PZ,1250,176,152,996.88,1
44105,,3,Farmaceut,PZ,1300,176,144,963.63,1
44105,,3,SANITÁR,PZ,696,176,136,546.96,1
44105,,3,Zodpovedný farmaceut,PZ,1650,176,176,563.35,1
44105,,5,Farmaceut,PZ,1050,176,160,1107.52,1
44105,,5,Laborant,PZ,928,176,140,1076.86,1
44105,,5,SANITÁR,PZ,522,132,126,464.24,0.75
44105,,5,Zodpovedný farmaceut,PZ,1720,176,152,1827.16,1
44105,,6,Farmaceut,PZ,1290,176,160,1169.85,1
44105,,6,Laborant,PZ,928,176,168,668.93,1
44105,,6,Laborant,PZ,928,176,136,933.45,1
44105,,6,Laborant,PZ,928,176,80,617.66,1
44105,,6,SANITÁR,PZ,522,132,96,509.45,0.75
44105,,6,Zodpovedný farmaceut,PZ,1870,176,152,1977.23,1
44105,,7,Dohoda,dohoda,,,0,219.59,0.5
44105,,7,Dohoda,dohoda,,,0,56.12,0.25
44105,,7,Dohoda,dohoda,,,0,178.16,0.5
44105,,7,Dohoda,dohoda,,,0,392.82,0.25
44105,,7,Farmaceut,PZ,1100,176,179,1030.92,1
44105,,7,Laborant,PZ,928,176,0,0,1
44105,,7,Zodpovedný farmaceut,PZ,1600,176,191,1514.44,1
44105,,9,Dohoda,dohoda,,,0,0,0.25
44105,,9,Farmaceut,PZ,1100,176,176,900.02,1
44105,,9,Farmaceut,PZ,131,22,22,91.89,0.13
44105,,9,Farmaceut,PZ,1100,176,176,986.45,1
44105,,9,Laborant,PZ,928,176,168,690.86,1
44105,,9,Laborant,PZ,950,176,176,800.99,1
44105,,9,Laborant,PZ,940,176,168,824.78,1
44105,,9,SANITÁR,PZ,696,176,156,576.38,1
44105,,9,SANITÁR,PZ,696,176,172,598.26,1
44105,,9,Zodpovedný farmaceut,PZ,1800,176,160,1974.3,1
44105,,11,Dohoda,dohoda,,,0,0,0.25
44105,,11,Dohoda,dohoda,,,0,60.81,0.25
44105,,11,Farmaceut,PZ,1370,176,160,2066.68,1
44105,,11,Farmaceut,PZ,1300,176,153,1273.58,1
44105,,11,Farmaceut,PZ,1350,176,176,1196.58,1
44105,,11,Laborant,PZ,928,176,183,870.82,1
44105,,11,Laborant,PZ,928,176,40,201.2,1
44105,,11,Laborant,PZ,928,176,175,1438.87,1
44105,,11,Laborant,PZ,928,176,176,705.7,1
44105,,11,Laborant,PZ,928,176,32,287.01,1
44105,,11,SANITÁR,PZ,696,176,160,587.28,1
44105,,11,Zodpovedný farmaceut,PZ,1900,176,0,0,1
44105,,12,Farmaceut,PZ,1044,176,128,1450.6,1
44105,MD,12,Farmaceut,PZ,1433,176,0,0,1
44105,,12,Farmaceut,PZ,1100,176,176,1126.48,1
44105,,12,Laborant,PZ,938,176,152,915.28,1
44105,,12,Laborant,PZ,943,176,140,1089.97,1
44105,,12,Laborant,PZ,928,176,148,996.86,1
44105,RD,12,SANITÁR,PZ,496,176,0,0,1
44105,,12,SANITÁR,PZ,696,176,160,595.04,1
44105,,12,Zodpovedný farmaceut,PZ,1730,176,172,1811.37,1
44105,,13,Dohoda,dohoda,,,0,0,0.5
44105,,13,Farmaceut,PZ,1100,176,128,1136.44,1
44105,,13,Laborant,PZ,928,176,176,924.84,1
44105,,13,SANITÁR,PZ,435,110,95,339.49,0.63
44105,,13,Zodpovedný farmaceut,PZ,1372,143,130,1426.31,0.81
44105,,14,Dohoda,dohoda,,,0,67.65,0.25
44105,,14,Farmaceut,PZ,1200,176,172,1173.87,1
44105,,14,Farmaceut,PZ,1235,176,184.5,1313.45,1
44105,,14,Farmaceut,PZ,1220,176,180.5,1301.02,1
44105,,14,Laborant,PZ,928,176,116,1100.58,1
44105,,14,Laborant,PZ,928,176,160,885.77,1
44105,,14,SANITÁR,PZ,700,176,168,604.35,1
44105,,14,Zodpovedný farmaceut,PZ,1600,176,168,1605.94,1
44105,,15,Dohoda,dohoda,,,0,326.48,0.5
44105,,15,Farmaceut,PZ,1380,176,144,1517.3,1
44105,,15,Farmaceut,PZ,1225,176,132,1546.79,1
44105,,15,Laborant,PZ,928,176,152,1039.85,1
44105,,15,Laborant,PZ,928,176,128,1107.36,1
44105,,15,Zodpovedný farmaceut,PZ,2324,176,168,2340.94,1
44105,,16,Farmaceut,PZ,1150,176,160,1166.95,1
44105,,16,Farmaceut,PZ,1428,176,167,1723.44,1
44105,,16,Laborant,PZ,928,176,184.5,1032.01,1
44105,,16,Laborant,PZ,928,176,124,993.16,1
44105,,16,SANITÁR,PZ,696,176,64,376.67,1
44105,,16,Zodpovedný farmaceut,PZ,1740,176,0,243.45,1
44105,,17,Dohoda,dohoda,,,0,297.67,0.25
44105,,17,Farmaceut,PZ,1400,176,96,1357.78,1
44105,,17,Farmaceut,PZ,1350,176,176,1155.14,1
44105,,17,Laborant,PZ,928,176,160,858.65,1
44105,,17,Laborant,PZ,928,176,152,975.18,1
44105,,17,SANITÁR,PZ,696,176,0,0,1
44105,MD,17,Zodpovedný farmaceut,PZ,1850,176,0,0,1
44105,,17,Zodpovedný farmaceut,PZ,1800,176,168,1693.73,1
44105,MD,18,Farmaceut,PZ,1420,176,0,0,1
44105,,18,Farmaceut,PZ,1400,176,172,1307,1
44105,,18,Laborant,PZ,950,176,160,931.66,1
44105,,18,Laborant,PZ,928,176,152,838.59,1
44105,,18,SANITÁR,PZ,696,176,156.5,598.57,1
44105,,18,Zodpovedný farmaceut,PZ,1780,176,0,0,1
44105,,19,Farmaceut,PZ,1250,176,151,1385.84,1
44105,,19,Farmaceut,PZ,1550,176,160,1726.02,1
44105,,19,Farmaceut,PZ,1330,176,160,1156.73,1
44105,,19,Laborant,PZ,928,176,144,870.94,1
44105,,19,Laborant,PZ,928,176,176,855.75,1
44105,,19,SANITÁR,PZ,696,176,161.5,600.18,1
44105,,19,Zodpovedný farmaceut,PZ,150,22,19,134.2,0.13
44105,,22,Dohoda,dohoda,,,0,0,0.25
44105,,22,Dohoda,dohoda,,,0,0,0.25
44105,,22,Farmaceut,PZ,1400,176,136,1220.05,1
44105,,22,Farmaceut,PZ,1400,176,169,2502.38,1
