obdobie,md,stredisko,funkcia,ppv,mzda,fond,hodiny,vyplata,uvazok
44136,RD,2,Farmaceut,PZ,1100,162.75,0,0,1
44136,,2,Farmaceut,PZ,1250,168,136,1105.96,1
44136,,2,Farmaceut,PZ,1300,168,144,1333.42,1
44136,,2,Farmaceut,PZ,1250,168,144,1095.5,1
44136,,2,Laborant,PZ,1000,168,162,1005.71,1
44136,,2,Laborant,PZ,1000,168,136,932.23,1
44136,,2,Laborant,PZ,150,21,20,102.1,0.13
44136,RD,2,Laborant,PZ,730,162.75,0,0,1
44136,,2,Sanitár,PZ,736,168,56,544.45,1
44136,,2,Zodpovedný farmaceut,PZ,151,21,20,105.92,0.13
44136,RD,2,Zodpovedný farmaceut,PZ,1910,168,0,0,1
44136,,3,Farmaceut,PZ,1250,168,152,1100.22,1
44136,,3,Sanitár,PZ,696,168,96,507.72,1
44136,,3,Zodpovedný farmaceut,PZ,1650,168,128,839.88,1
44136,,5,Farmaceut,PZ,1050,168,156,1167.61,1
44136,,5,Laborant,PZ,928,168,144,1059.4,1
44136,,5,Sanitár,PZ,522,126,108,551.55,0.75
44136,,5,Zodpovedný farmaceut,PZ,1720,168,150,1895.48,1
44136,,6,Farmaceut,PZ,1290,168,160,1313.01,1
44136,,6,Laborant,PZ,928,168,96,849.19,1
44136,,6,Laborant,PZ,928,168,132,988.1,1
44136,,6,Laborant,PZ,928,168,144,916.81,1
44136,,6,Sanitár,PZ,522,126,102,550.46,0.75
44136,,6,Zodpovedný farmaceut,PZ,1870,168,160,2092.73,1
44136,,7,Dohoda,dohoda,0,0,0,174.01,0.5
44136,,7,Dohoda,dohoda,0,0,0,112.23,0.25
44136,,7,Dohoda,dohoda,0,0,0,306.59,0.5
44136,,7,Dohoda,dohoda,0,0,0,294.61,0.25
44136,,7,Farmaceut,PZ,1100,168,170,998.25,1
44136,,7,Laborant,PZ,928,168,20,721.96,1
44136,,7,Zodpovedný farmaceut,PZ,1600,168,146,1813.55,1
44136,,9,Dohoda,dohoda,0,0,0,0,0.25
44136,,9,Farmaceut,PZ,1100,168,136,955.38,1
44136,,9,Farmaceut,PZ,131,21,15,91.08,0.13
44136,,9,Farmaceut,PZ,1100,168,141.5,1018.33,1
44136,,9,Laborant,PZ,928,168,160,757.34,1
44136,,9,Laborant,PZ,950,168,141.5,813.6,1
44136,,9,Laborant,PZ,940,168,160,884.76,1
44136,,9,Sanitár,PZ,696,168,144,625.29,1
44136,,9,Sanitár,PZ,696,168,132,634.77,1
44136,,9,Zodpovedný farmaceut,PZ,1800,168,128,1776.74,1
44136,,11,Dohoda,dohoda,0,0,0,394.23,0.25
44136,,11,Dohoda,dohoda,0,0,0,0,0.25
44136,,11,Dohoda,dohoda,0,0,0,0,0.25
44136,,11,Farmaceut,PZ,1370,168,113,2391.45,1
44136,,11,Farmaceut,PZ,1660,168,152,2036.87,1
44136,,11,Farmaceut,PZ,1300,168,80,1303.89,1
44136,,11,Farmaceut,PZ,1350,168,160,1683.96,1
44136,,11,Laborant,PZ,928,168,152,903.16,1
44136,,11,Laborant,PZ,928,168,96,2200.08,1
44136,,11,Laborant,PZ,928,168,128,923.31,1
44136,,11,Laborant,PZ,928,168,0,0,1
44136,,11,Sanitár,PZ,696,168,101,571.53,1
44136,,11,Zodpovedný farmaceut,PZ,1900,168,0,0,1
44136,,12,Farmaceut,PZ,1044,168,140.5,1470.17,1
44136,MD,12,Farmaceut,PZ,1433,168,0,0,1
44136,,12,Farmaceut,PZ,1100,168,128,1657.4,1
44136,,12,Laborant,PZ,938,168,160,1178.75,1
44136,,12,Laborant,PZ,943,168,140,1098.29,1
44136,,12,Laborant,PZ,928,168,140,1157.88,1
44136,RD,12,Sanitár,PZ,496,168,0,0,1
44136,,12,Sanitár,PZ,696,168,152,669.2,1
44136,,12,Zodpovedný farmaceut,PZ,1730,168,140,1885.63,1
44136,,13,Dohoda,dohoda,0,0,0,85.88,0.5
44136,,13,Farmaceut,PZ,1100,168,144,1122.6,1
44136,,13,Laborant,PZ,928,168,120,1094.92,1
44136,,13,Sanitár,PZ,435,105,95,520.15,0.63
44136,,13,Zodpovedný farmaceut,PZ,1372,136.5,110.5,1497.63,0.81
44136,,14,Farmaceut,PZ,1200,168,141.5,1454.53,1
44136,,14,Farmaceut,PZ,1235,168,152,1655.92,1
44136,,14,Farmaceut,PZ,1220,168,161.5,1441.26,1
44136,,14,Laborant,PZ,928,168,136,1067.85,1
44136,,14,Laborant,PZ,928,168,148,1107.69,1
44136,,14,Sanitár,PZ,700,168,152,672.49,1
44136,,14,Zodpovedný farmaceut,PZ,1600,168,132,1717.3,1
44136,,15,Dohoda,dohoda,0,0,0,222.64,0.5
44136,,15,Farmaceut,PZ,1380,168,160,1437.63,1
44136,,15,Farmaceut,PZ,1225,168,160,1528,1
